image_url,faces
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/blackplum.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/tabascopepper_pixabay.webp (509×340) - Work - Microsoft​ Edge 10_1_2021 11_19_33 AM (2).png,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/storm1.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/bookcase.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/electricrazor.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/Landscapes_010_h.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/blackberry_ed.bmp,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/blackplum.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/CFD-WM-028-007-HO.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/samothraki_1.png,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/hoe.png,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/WM01_HO.bmp,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/appalachian_1.png,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/chicago.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/corn_pixabay.png,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/armchair.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/CFD-WM-009-004-HO.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/colorH03 (2).bmp,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/broken3.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/toasteroven.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/Landscapes_115_v.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/industry6.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/turnip_ed.bmp,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/Landscapes_089_h.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/treeripe tangerines.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/macademia nut.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/kumquat_pixabay.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/CFD-WF-014-004-HO.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/treeripe tangerines.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/nut.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/oneholepunch.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/AM06_HC.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/Landscapes_014_h.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/hurricane1.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/tamarind.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/CFD-WM-016-005-HC.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/Landscapes_064_h.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/Landscapes_110_v.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/kumquat_pixabay.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/toiletbrush.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/CFD-BF-001-018-HO.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/almonds_pixabay.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/WF12_HC.bmp,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/abandoned4.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/Landscapes_006_h.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/tamarind.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/colorG12 (1).bmp,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_household_items/oven.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/blackberry_ed.bmp,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/heirloom tomato.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/WF15_HO.bmp,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/Landscapes_108_v.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/colorG12 (1).bmp,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/Fire 4.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/turnip_ed.bmp,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/AM08_HC.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/Thunderstorm 3.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_fruits_vegetables/malanga_pixabay.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/sarisarinama_sinkhole_1.png,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_negative_places/EM0119.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_happy_faces/CFD-WM-031-038-HC.jpg,1
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_positive_places/Cape_Horn.jpg,0
https://raw.githubusercontent.com/zacharybretton/stimuli_toberated/main/resized_angry_faces/macademia nut.jpg,1
